title,description,category,priority,days_until_due,due_date
Document chat setup process,New engineers need clearer docs on how payments service works. Important for the client demo next week.,Documentation,HIGH,1,2026-08-14
Provision new upload environment,Need to migrate billing module off legacy infrastructure this quarter. This is high priority for the upcoming release.,DevOps/Infrastructure,HIGH,1,2026-08-14
Design icon set for reporting engine,"Current chat UI feels dated, redesign requested by stakeholders. No rush, whenever you get a chance.",Design,LOW,22,2026-09-04
Set up CI/CD pipeline for search service,"Ops wants alerting configured for mobile app before it handles more traffic. Needed before end of sprint, please prioritize.",DevOps/Infrastructure,HIGH,5,2026-08-18
Update README for billing module service,New engineers need clearer docs on how React frontend works.,Documentation,MEDIUM,7,2026-08-20
Update README for reporting engine service,"New engineers need clearer docs on how billing module works. No rush, whenever you get a chance.",Documentation,LOW,30,2026-09-12
Add regression tests for payments service,QA wants automated E2E coverage for user profile before launch.,Testing,MEDIUM,11,2026-08-24
Write architecture doc for payments service,New engineers need clearer docs on how checkout flow works. Can be picked up next quarter.,Documentation,LOW,50,2026-10-02
Fix crash when checkout on backend API,"Regression introduced by last sprint's changes to notification service; needs a hotfix. Someday/maybe, not time sensitive.",Bug Fix,LOW,53,2026-10-05
Fix race condition in auth service module,Regression introduced by last sprint's changes to admin dashboard; needs a hotfix.,Bug Fix,MEDIUM,13,2026-08-26
Investigate billing performance issue in React frontend,Explore whether mobile is viable for the payments service rewrite.,Research,MEDIUM,10,2026-08-23
Prepare slides for checkout flow review,Need to align stakeholders on reporting engine before next sprint. Important for the client demo next week.,Meeting/Admin,HIGH,4,2026-08-17
Document chat setup process,New engineers need clearer docs on how notification service works.,Documentation,MEDIUM,7,2026-08-20
Prepare slides for React frontend review,"Need to align stakeholders on user service before next sprint. Someday/maybe, not time sensitive.",Meeting/Admin,LOW,29,2026-09-11
Document session setup process,"API consumers are confused about notification service usage, needs docs. Someday/maybe, not time sensitive.",Documentation,LOW,46,2026-09-28
Set up retro for admin dashboard team,"Prepare status update for mobile to share with leadership. Someday/maybe, not time sensitive.",Meeting/Admin,LOW,29,2026-09-11
Add regression tests for backend API,Coverage on search service is below target; add tests before release.,Testing,MEDIUM,13,2026-08-26
Coordinate chat kickoff meeting,Need to align stakeholders on payments service before next sprint. Can be picked up next quarter.,Meeting/Admin,LOW,39,2026-09-21
Set up CI/CD pipeline for backend API,Ops wants alerting configured for notification service before it handles more traffic.,DevOps/Infrastructure,MEDIUM,7,2026-08-20
Create chat integration with search service,Design has finalized mockups for the OAuth token feature in checkout flow.,Feature Development,MEDIUM,4,2026-08-17
Write API docs for mobile app endpoints,"The chat process isn't documented anywhere; write a guide. Nice to have, low priority.",Documentation,LOW,52,2026-10-04
Update backend API to latest framework version,"payments service dependencies are several versions behind and need upgrading. Someday/maybe, not time sensitive.",Maintenance,LOW,47,2026-09-29
Prepare slides for billing module review,Need to align stakeholders on checkout flow before next sprint. Important for the client demo next week.,Meeting/Admin,HIGH,5,2026-08-18
Redesign billing module settings page,Create a design spec for the new reporting engine experience.,Design,MEDIUM,10,2026-08-23
Fix broken reporting button on auth service page,"Users report authentication fails intermittently after the latest deploy to checkout flow. Needed before end of sprint, please prioritize.",Bug Fix,HIGH,1,2026-08-14
Fix exposed user profile endpoint in auth service,"Compliance requires rotating upload used by notification service this month. Someday/maybe, not time sensitive.",Security,LOW,24,2026-09-06
Update auth service to latest framework version,"checkout flow dependencies are several versions behind and need upgrading. No rush, whenever you get a chance.",Maintenance,LOW,26,2026-09-08
Fix race condition in user service module,"Stack trace shows a authentication exception thrown from the reporting engine handler. Needed before end of sprint, please prioritize.",Bug Fix,HIGH,5,2026-08-18
Schedule sprint planning for payments service,"Book time with billing module team to discuss payment plan. Needed before end of sprint, please prioritize.",Meeting/Admin,HIGH,4,2026-08-17
Update payments service to latest framework version,"Tech debt in billing module is slowing down feature work, needs refactor. Important for the client demo next week.",Maintenance,HIGH,3,2026-08-16
Fix exposed payment endpoint in notification service,Pen test found an exposed chat in the admin dashboard API. Important for the client demo next week.,Security,HIGH,3,2026-08-16
Write E2E tests for reporting checkout,"The chat flow has no automated tests, causing repeat regressions. This is high priority for the upcoming release.",Testing,HIGH,5,2026-08-18
Update user service to latest framework version,"Tech debt in payments service is slowing down feature work, needs refactor. Important for the client demo next week.",Maintenance,HIGH,1,2026-08-14
Set up monitoring for admin dashboard service,"Ops wants alerting configured for notification service before it handles more traffic. Needed before end of sprint, please prioritize.",DevOps/Infrastructure,HIGH,3,2026-08-16
Clean up unused search in React frontend,Remove dead analytics code left over from the old checkout flow implementation. This is high priority for the upcoming release.,Maintenance,HIGH,5,2026-08-18
Add integration tests for mobile flow,"The reporting flow has no automated tests, causing repeat regressions.",Testing,MEDIUM,13,2026-08-26
Write API docs for payments service endpoints,The export process isn't documented anywhere; write a guide.,Documentation,MEDIUM,6,2026-08-19
Redesign auth service settings page,Need updated mockups for React frontend before dev starts.,Design,MEDIUM,6,2026-08-19
Upgrade payments service dependencies,"Tech debt in payments service is slowing down feature work, needs refactor. No rush, whenever you get a chance.",Maintenance,LOW,39,2026-09-21
Prepare slides for reporting engine review,Prepare status update for session to share with leadership. This is a P0 blocker for the launch tomorrow.,Meeting/Admin,URGENT,-2,2026-08-11
Configure autoscaling for auth service,"Ops wants alerting configured for search service before it handles more traffic. Nice to have, low priority.",DevOps/Infrastructure,LOW,46,2026-09-28
Coordinate payment kickoff meeting,Prepare status update for search to share with leadership.,Meeting/Admin,MEDIUM,7,2026-08-20
Write API docs for mobile app endpoints,"The upload process isn't documented anywhere; write a guide. Nice to have, low priority.",Documentation,LOW,53,2026-10-05
Spike on chat feasibility for mobile app,"Team needs a recommendation on authentication approach for auth service. Critical: production is down, all hands on this now.",Research,URGENT,1,2026-08-14
Migrate admin dashboard to new cluster,Need to migrate search service off legacy infrastructure this quarter. Can be picked up next quarter.,DevOps/Infrastructure,LOW,33,2026-09-15
Patch user profile vulnerability in auth service,Pen test found an exposed analytics in the notification service API. This is blocking the release and needs to be fixed ASAP.,Security,URGENT,1,2026-08-14
Create wireframes for authentication flow,"Create a design spec for the new reporting engine experience. No rush, whenever you get a chance.",Design,LOW,54,2026-10-06
